name,ticker,exchange,industry,phone,address,recentForm,edgar,ir_lookup
"GOLD RESOURCE CORP","GORO","NYSE","Gold and Silver Ores","303-320-7708","7887 EAST BELLEVIEW AVENUE, DENVER, CO, 80111","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001160791&type=&owner=include&count=10","https://www.google.com/search?q=GOLD%20RESOURCE%20CORP%20investor%20relations%20contact"
"SpringBig Holdings, Inc.","SBIG","OTC|OTC","Services-Computer Programming Services","(800) 772-9172","621 NW 53RD ST, BOCA RATON, FL, 33487","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001801602&type=&owner=include&count=10","https://www.google.com/search?q=SpringBig%20Holdings%2C%20Inc.%20investor%20relations%20contact"
"Vireo Growth Inc.","VREOF","OTC|OTC","Pharmaceutical Preparations","604-617-5421","207 SOUTH 9TH STREET, MINNEAPOLIS, MN, 55402","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001771706&type=&owner=include&count=10","https://www.google.com/search?q=Vireo%20Growth%20Inc.%20investor%20relations%20contact"
"Mueller Water Products, Inc.","MWA","NYSE","Miscellaneous Fabricated Metal Products","770-206-4200","1200 ABERNATHY RD, NE, ATLANTA, GA, 30328","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001350593&type=&owner=include&count=10","https://www.google.com/search?q=Mueller%20Water%20Products%2C%20Inc.%20investor%20relations%20contact"
"Jaguar Health, Inc.","JAGX","Nasdaq","Pharmaceutical Preparations","415-371-8300","200 PINE STREET SUITE 400, SAN FRANCISCO, CA, 94104","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001585608&type=&owner=include&count=10","https://www.google.com/search?q=Jaguar%20Health%2C%20Inc.%20investor%20relations%20contact"
"USA Rare Earth, Inc.","USAR","Nasdaq","Metal Mining","813-867-6155","100 W AIRPORT ROAD, STILLWATER, OK, 74075","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001970622&type=&owner=include&count=10","https://www.google.com/search?q=USA%20Rare%20Earth%2C%20Inc.%20investor%20relations%20contact"
"FirstCash Holdings, Inc.","FCFS","Nasdaq","Retail-Miscellaneous Retail","817-258-2650","1600 WEST 7TH STREET, FORT WORTH, TX, 76102","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000840489&type=&owner=include&count=10","https://www.google.com/search?q=FirstCash%20Holdings%2C%20Inc.%20investor%20relations%20contact"
"Silo Pharma, Inc.","SILO","Nasdaq","Pharmaceutical Preparations","(718) 400-9031","677 N. WASHINGTON BLVD, SARASOTA, FL, 34236","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001514183&type=&owner=include&count=10","https://www.google.com/search?q=Silo%20Pharma%2C%20Inc.%20investor%20relations%20contact"
"Petros Pharmaceuticals, Inc.","PTPI","OTC","Pharmaceutical Preparations","973-242-0005","1185 AVENUE OF THE AMERICAS, 3RD FLOOR, NEW YORK, NY, 10036","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001815903&type=&owner=include&count=10","https://www.google.com/search?q=Petros%20Pharmaceuticals%2C%20Inc.%20investor%20relations%20contact"
"Faeth Therapeutics, Inc.","SNSE","Nasdaq","Pharmaceutical Preparations","512-200-2982","701 TILLERY STREET #12 #1010, AUSTIN, TX, 78702","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001829802&type=&owner=include&count=10","https://www.google.com/search?q=Faeth%20Therapeutics%2C%20Inc.%20investor%20relations%20contact"
"Coinbase Global, Inc.","COIN","Nasdaq","Finance Services","3026365401","ONE MADISON AVENUE, NEW YORK, NY, 10010","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001679788&type=&owner=include&count=10","https://www.google.com/search?q=Coinbase%20Global%2C%20Inc.%20investor%20relations%20contact"
"ATMOS ENERGY CORP","ATO","NYSE","Natural Gas Distribution","9729349227","1800 THREE LINCOLN CTR, DALLAS, TX, 75240","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000731802&type=&owner=include&count=10","https://www.google.com/search?q=ATMOS%20ENERGY%20CORP%20investor%20relations%20contact"
"Comstock Holding Companies, Inc.","CHCI","Nasdaq","Real Estate","703-230-1985","1900 RESTON METRO PLAZA, 10TH FLOOR, RESTON, VA, 20190","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001299969&type=&owner=include&count=10","https://www.google.com/search?q=Comstock%20Holding%20Companies%2C%20Inc.%20investor%20relations%20contact"
"WisdomTree, Inc.","WT","NYSE","Security Brokers, Dealers & Flotation Companies","212-801-2080","250 WEST 34TH STREET, NEW YORK, NY, 10119","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000880631&type=&owner=include&count=10","https://www.google.com/search?q=WisdomTree%2C%20Inc.%20investor%20relations%20contact"
"bioAffinity Technologies, Inc.","BIAF","Nasdaq|Nasdaq","Services-Commercial Physical & Biological Research","210-698-5334","3300 NACOGDOCHES ROAD, SAN ANTONIO, TX, 78217","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001712762&type=&owner=include&count=10","https://www.google.com/search?q=bioAffinity%20Technologies%2C%20Inc.%20investor%20relations%20contact"
"Vivakor, Inc.","VIVK","Nasdaq","Refuse Systems","(949) 281-2606","5220 SPRING VALLEY RD., DALLAS, TX, 75254","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001450704&type=&owner=include&count=10","https://www.google.com/search?q=Vivakor%2C%20Inc.%20investor%20relations%20contact"
"DocGo Inc.","DCGO","Nasdaq","Services-Health Services","(844) 443-6246","685 THIRD AVENUE, NEW YORK, NY, 10017","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001822359&type=&owner=include&count=10","https://www.google.com/search?q=DocGo%20Inc.%20investor%20relations%20contact"
"M-tron Industries, Inc.","MPTI","NYSE","Electronic Components, NEC","(407) 298-2000","2525 SHADER ROAD, ORLANDO, FL, 32804","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001902314&type=&owner=include&count=10","https://www.google.com/search?q=M-tron%20Industries%2C%20Inc.%20investor%20relations%20contact"
"Match Group, Inc.","MTCH","Nasdaq","Services-Computer Programming, Data Processing, Etc.","2145769352","8750 NORTH CENTRAL EXPRESSWAY, DALLAS, TX, 75231","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000891103&type=&owner=include&count=10","https://www.google.com/search?q=Match%20Group%2C%20Inc.%20investor%20relations%20contact"
"RUM Group Inc.","RUM","Nasdaq|Nasdaq","Services-Computer Programming, Data Processing, Etc.","941-210-0196","444 GULF OF MEXICO DRIVE, LONGBOAT KEY, FL, 34228","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001830081&type=&owner=include&count=10","https://www.google.com/search?q=RUM%20Group%20Inc.%20investor%20relations%20contact"
"RECURSION PHARMACEUTICALS, INC.","RXRX","Nasdaq","Biological Products, (No Diagnostic Substances)","(385) 269-0203","41S RIO GRANDE STREET, SALT LAKE CITY, UT, 84101","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001601830&type=&owner=include&count=10","https://www.google.com/search?q=RECURSION%20PHARMACEUTICALS%2C%20INC.%20investor%20relations%20contact"
"Zura Bio Ltd","ZURA","Nasdaq","Biological Products, (No Diagnostic Substances)","858-247-0520","4225 EXECUTIVE SQUARE, LA JOLLA, CA, 92037","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001855644&type=&owner=include&count=10","https://www.google.com/search?q=Zura%20Bio%20Ltd%20investor%20relations%20contact"
